feature,correlation_score,mutual_information,model_importance_gain,model_importance_split,permutation_importance,permutation_positive_folds,shap_importance,shap_mean_signed,votes,selected,removal_reason
usdinr_volatility,0.012054728469093334,0.1189412593251129,0.13936506604711818,0.11616071428571428,-0.007088879435626126,0.5,0.20329347036427048,0.11774446887694207,3.0,True,
Mkt_SMA200_Ratio,-0.021737499126383363,0.11605469697703508,0.15862700056686574,0.12107142857142857,0.018388889384286143,0.75,0.1836266142166025,-0.025489462183495668,4.0,True,
india_vix,0.042591766080691464,0.07072982168195163,0.1135661558891901,0.08017857142857143,0.0050349215860364714,0.75,0.13506273387334952,-0.03525266764078956,4.0,True,
Mkt_Vol_20,0.01799444616223058,0.11787542536090378,0.10648848654993423,0.09991071428571428,0.009271364609605367,0.5,0.10407122309986132,0.009997454894731323,4.0,True,
nifty_trend_direction,-0.043897439532771726,0.0017632801246247887,0.017626426867819157,0.017767857142857144,0.005472197794531508,0.75,0.07793511356007762,0.012096079165454004,3.0,True,
Mkt_Ret_63,-0.007477915301834779,0.11973958598901246,0.08100353744625796,0.06928571428571428,0.0031716207936140265,1.0,0.05431643280340722,-0.02895874333753741,4.0,True,
SMA50_200_Ratio,0.024983428359230328,0.0006893870894886245,0.014831419069284082,0.020892857142857144,-0.004211777399197892,0.5,0.05299488282315046,0.00980833647564271,2.0,True,
usdinr_return_20,-0.014420450571738736,0.11738541373504208,0.03085629626732935,0.03696428571428571,0.0007217798681538926,0.25,0.019602171868785705,0.0022990134939597055,4.0,True,
Vol_60,0.011368978265443395,0.00268349027324688,0.0054005658122805375,0.015803571428571427,-0.0001580819788956911,0.5,0.018572919955878956,0.003874462060979641,3.0,True,
usdinr_return_5,-0.011862455361783231,0.11663809254589808,0.0077230581251210165,0.01375,-0.0025122391766907353,0.5,0.018187081775983584,-0.004889141758485537,3.0,True,
nifty_return_20,0.03453748636002757,0.11668906390194311,0.014429388059620404,0.014732142857142857,-0.0013916011381799737,0.5,0.017654237123713952,-0.005513644936594767,3.0,True,
