feature,correlation_score,mutual_information,model_importance_gain,model_importance_split,permutation_importance,permutation_positive_folds,shap_importance,shap_mean_signed,votes,selected,removal_reason
nifty_return_5,-0.028540795940304918,0.1131211415336908,0.05434190465246668,0.05053571428571429,0.012989250586981568,1.0,0.0967944789794664,0.013539502475069767,4.0,True,
Mkt_SMA200_Ratio,-0.018155908466492763,0.11476104212123506,0.08931825667333522,0.08741071428571429,0.0007488233819676522,0.75,0.08197593437821298,0.012385027746607193,4.0,True,
Mkt_Vol_20,0.030464571990932544,0.11254977039874459,0.0885313849280683,0.07741071428571429,-0.006244641899891443,0.5,0.05396450330386404,-0.008253450812675353,3.0,True,
usdinr_return_20,-0.006341927104837975,0.11196368423446623,0.06586873821922572,0.06517857142857143,-0.003016118155822701,0.5,0.05048415115349429,0.018614099948061076,3.0,True,
india_vix,0.03907134453160426,0.07009053390048825,0.08117363500588129,0.07455357142857143,-0.00361105614017528,0.5,0.048364718080101746,-0.004736916937405321,3.0,True,
Mkt_Ret_63,-0.011101767180686888,0.11352468913715819,0.08213742062865585,0.07607142857142857,0.007254630300382056,0.75,0.04392870088936826,-0.009355129494658568,4.0,True,
nifty_sma_ratio,0.0028056712571906017,0.11417239676647961,0.0711286678586063,0.06517857142857143,0.006916263496872115,1.0,0.04367542820036984,0.005923557164358229,4.0,True,
SMA50_200_Ratio,0.017915512168315967,0.0,0.004603931908347387,0.010089285714285714,9.039942464939925e-05,0.5,0.027526441124261253,0.004150992301404663,3.0,True,
nifty_return_20,0.018761419143894932,0.11240857706780982,0.035355093504927604,0.0325,0.0006213177583592372,0.75,0.02431819417067384,-0.006880702206151343,4.0,True,
usdinr_return_5,0.0030045030133670912,0.11129966288145132,0.03243904183518578,0.03964285714285714,0.0008323244732015797,0.5,0.023303608021462956,-0.010671067055496194,4.0,True,
india_vix_return,-0.023676010461460378,0.11039695225151869,0.015492274406619625,0.022589285714285715,0.003314060998145879,0.75,0.019073358846478067,0.0018149985122791444,4.0,True,
Low252_Dist,0.028500685452742956,0.0,0.0029659709948455784,0.006160714285714286,0.00025502204440308596,0.5,0.015750468675105954,0.00051950709109673,3.0,True,
sector_return_1,0.04029688489503342,0.03249574798456378,0.003109121381346692,0.005178571428571428,0.0009603389959388087,1.0,0.014878821750868694,0.00025125830137605223,4.0,True,
sector_momentum,0.025387525770606195,0.029926801980467044,0.00392601417027778,0.007321428571428572,0.0005393666275803944,0.5,0.014248278693504434,-0.001665257516560696,4.0,True,
nifty_return_1,0.03051997264185841,0.11612100801392011,0.009070053625841842,0.015357142857142857,0.0006904297156921692,0.75,0.012699438658291859,-0.0006982085432441343,4.0,True,
stock_vs_sector_return,-0.022190935801595976,0.0013021257772136696,0.0015157897350239937,0.004821428571428571,0.00020463779657597936,0.75,0.011522243481705186,0.00015567247196469357,3.0,True,
sector_return_5,0.0007245107383427639,0.03201068437820154,0.003425989736032876,0.006339285714285714,0.0003658032891619793,1.0,0.008263437631300165,8.13867683506704e-06,4.0,True,
usdinr_return_1,-0.010289828825973043,0.11400074757103429,0.008581628361780357,0.014464285714285714,0.0002875051124781406,0.75,0.0074965277907388835,-0.0008793943077061127,4.0,True,
daily_price_vs_EMA,-0.0034482913867906837,0.001155266494813123,0.0017667887889548362,0.004375,0.001084946289567475,1.0,0.007083945629578016,-0.0009015325502859824,3.0,True,
SMA50_Ratio,-0.002649527196826775,0.0,0.001382043130555515,0.0045535714285714285,0.0002687361178889264,1.0,0.006907137955439432,-0.0003261331553692533,3.0,True,
Ret_63,0.00014393676892644164,0.002529824294730698,0.0010793159681315861,0.003125,0.00030600928801880845,0.75,0.006273981896785713,-9.229818845734236e-05,3.0,True,
Ret_5,-0.016751249120307544,0.0011437896338724052,0.0011110376016787871,0.002589285714285714,0.0007175903324394319,1.0,0.0042880110372822185,0.0001186094367554762,2.0,True,
sector_sma_ratio,0.01012271773913435,0.03059633271209128,0.0015602236590111151,0.004375,0.0003815858140411391,0.75,0.004014785113111168,0.0008886872206485404,4.0,True,
MACD_Hist_Ratio,-0.0010263719030772763,0.0018607483579828887,0.0003497377407074848,0.0011607142857142858,0.0002413675066792372,0.75,0.0024916685511022917,0.000293644788564407,2.0,True,
stock_sector_relative_strength,-0.01301218428867339,0.002875450606345975,0.0005010666303469178,0.001875,6.859968507708555e-05,1.0,0.0016656040397986392,0.000163819270890391,2.0,True,
High252_Dist,-0.005598386398956054,0.0,0.001225839188257062,0.0024107142857142856,3.52458483618423e-05,0.5,0.0008658819202698421,0.0003082944451403069,2.0,True,
usdinr_volatility,-0.0027048020401115387,0.11336465005961549,0.14369556860679256,0.11330357142857143,-0.006831289504580349,0.25,0.19438341111920052,0.12096660399552893,3.0,False,permutation importance negative out-of-sample
india_vix_volatility,-0.01075062545042189,0.11245987065504659,0.09030785670910632,0.07919642857142857,-0.0028105495002959807,0.25,0.08599871760530167,-0.0162769607777472,3.0,False,permutation importance negative out-of-sample
nifty_momentum,0.010334446703922319,0.11192182456381294,0.042777697590961526,0.04642857142857143,-0.0003507361801594381,0.5,0.03885714157723445,-0.007226002737758471,3.0,False,redundant with nifty_return_20 (|rho|>=0.9)
Mkt_Ret_21,0.019604902765747754,0.11462358780302284,0.03195762175146077,0.03339285714285714,-0.000491417669212092,0.5,0.0329035470664578,-0.00716442941074194,3.0,False,redundant with nifty_return_20 (|rho|>=0.9)
nifty_trend_direction,-0.026165800525800302,0.0,0.007629713687114386,0.005,-0.0008885743805739043,0.0,0.012213934307487398,0.004078537945792484,2.0,False,permutation importance negative out-of-sample
india_vix_change,-0.02457906342683061,0.04555973611500885,0.012998673325759706,0.016428571428571428,7.504291133448213e-05,0.75,0.010983003754844553,-0.0012485743752681897,4.0,False,redundant with india_vix_return (|rho|>=0.9)
sector_return_20,0.023132871639859706,0.03327984032768394,0.0014912407304048176,0.0027678571428571427,-0.00013304241663046612,0.0,0.005536752503399121,-0.0004709841071966621,3.0,False,permutation importance negative out-of-sample
Ret_252,0.011153514378770274,0.0,0.0016825335538543447,0.00375,3.264714360983838e-05,0.75,0.0032116554996621458,0.0015608555070072752,1.0,False,low agreement between selection methods
Ret_126,0.006823668531618977,0.0003624736784462179,0.0005406532409541248,0.00125,7.005851866379957e-05,0.5,0.0016598009794888714,-0.0006038079823737371,1.0,False,low agreement between selection methods
SMA20_Ratio,-0.0008870077034180611,0.0017607046266814308,0.0005408843302394947,0.001875,0.00018000271532548257,1.0,0.0015982162024009501,0.00015660837219444063,2.0,False,redundant with daily_price_vs_EMA (|rho|>=0.9)
sector_volatility,0.022634044255586287,0.03134911791975936,0.001007665307023082,0.0019642857142857144,-5.878044363121412e-05,0.0,0.001423382038097977,8.515655686359763e-06,1.0,False,permutation importance negative out-of-sample
Vol_Ratio,-0.0026049581687686034,0.001217119005885836,0.00033441837850861546,0.0008928571428571428,-3.450202099347192e-05,0.25,0.001173192873561499,0.0001209569070512565,0.0,False,permutation importance negative out-of-sample
stock_nifty_relative_strength,-0.004821172611286198,0.0009222087676601376,0.00021075748880051152,0.0007142857142857143,-3.6906152598437095e-06,0.75,0.001083472273789719,-0.0001497312143690033,0.0,False,low agreement between selection methods
RSI,-0.0012636157129720454,2.4434142417373295e-05,0.0003109460912652468,0.0007142857142857143,2.0679340924367743e-05,0.5,0.000965783052913297,7.893714748842092e-05,0.0,False,low agreement between selection methods
daily_MACD_signal_norm,0.0011494998066563158,0.0,0.00038452096169588955,0.0008035714285714286,2.3489557866402756e-05,0.5,0.0009583692980716183,-7.599450447973207e-05,0.0,False,low agreement between selection methods
Rel_Ret_21,-0.004457413757530226,0.0,0.00016611940713623922,0.0005357142857142857,-3.4476262751279964e-06,0.5,0.0008324055850480224,-0.00011046615007536333,0.0,False,low agreement between selection methods
daily_momentum_z,-0.013759120371949209,0.0013219104822466132,0.00023684732200728611,0.0007142857142857143,7.46738531511304e-05,1.0,0.000783210665834967,-2.19299568043323e-05,1.0,False,low agreement between selection methods
SMA200_Ratio,0.011042469042200556,0.0,0.0003273789464917976,0.0009821428571428572,4.026820654418985e-06,0.75,0.0006429685010018884,0.00012988921885435508,0.0,False,low agreement between selection methods
MACD_Ratio,0.0011318239209712692,0.0,0.00011477589310289912,0.00035714285714285714,5.9504774163452824e-05,0.25,0.0005172558892533584,0.00014338494177578226,1.0,False,low agreement between selection methods
Ret_21,0.006466216219584194,0.0013332283388005628,0.0002527249689558271,0.000625,5.620211875268418e-05,0.75,0.0004712126621826281,4.9438744018496535e-05,1.0,False,low agreement between selection methods
Volatility,0.024026868164165542,0.0006357495876438968,0.0001954767971736743,0.0004464285714285714,9.052758192504284e-06,0.5,0.00043000438805330916,-5.212707188224244e-05,0.0,False,low agreement between selection methods
BB_PctB,0.0013317784771614454,0.00362496779952326,0.00016546567299495035,0.00035714285714285714,7.380232032723939e-05,0.25,0.0004284267246959955,9.309348668373911e-05,2.0,False,redundant with daily_price_vs_EMA (|rho|>=0.9)
ATR_Ratio,0.02387557395520572,0.0013772298504610703,8.750283757871417e-05,0.00035714285714285714,2.4403369952306447e-05,0.5,0.00036867271881318536,-3.8592480594592e-06,0.0,False,low agreement between selection methods
Vol_60,0.027481109299863252,0.0018448362729879264,0.00018199653708665743,0.000625,1.236714808638036e-05,0.75,0.0003649572597843722,8.067017832569691e-05,1.0,False,low agreement between selection methods
stock_vs_nifty_return,-0.010391671890013514,0.0013799755553087767,5.694000539897033e-05,0.00017857142857142857,1.3288221148830917e-05,0.5,0.0003441670495729507,-4.952544122400476e-07,0.0,False,low agreement between selection methods
daily_EMA_fast_vs_slow,0.001693953144837841,0.0,7.756730078805921e-05,0.00026785714285714287,5.916703527138652e-06,0.5,0.00027923899631972845,7.891465013738178e-06,0.0,False,low agreement between selection methods
Volume_Ratio,0.0013233101399306583,0.0013401495695668508,4.13124102506366e-05,0.00017857142857142857,-1.3278377615314845e-06,0.0,0.00023924309048877217,2.0245682353158308e-05,0.0,False,permutation importance negative out-of-sample
Ret21_Z,0.008722093329760398,0.0035602375820193988,0.00019479712437120485,0.00035714285714285714,3.361616971707855e-05,0.5,0.000165077019344739,-9.722743601745194e-07,1.0,False,low agreement between selection methods
Ret_1,0.006888460893073834,0.0,2.7069005462523088e-05,8.928571428571429e-05,9.047013040192065e-06,0.25,0.00015386031485212638,-1.3318494477911677e-05,0.0,False,low agreement between selection methods
Stoch_K,-0.0009917856938391717,0.0,4.230368314699657e-05,0.00017857142857142857,7.906513453799965e-06,0.5,0.00011120842839736036,-7.542931196876667e-06,0.0,False,low agreement between selection methods
Rel_Ret_63,0.004566418996257122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,low agreement between selection methods
daily_volume_change,0.011898008260180403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,low agreement between selection methods
daily_trend_direction,0.005037604208981246,0.0009149999708568668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,low agreement between selection methods
daily_rsi_regime,-0.0038353344315635368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,low agreement between selection methods
nifty_volatility_20,0.030511871993507522,,,,,,,,,False,duplicate of Mkt_Vol_20 (|rho|>=0.999)
nifty_sma200_ratio,-0.01877502840730323,,,,,,,,,False,duplicate of Mkt_SMA200_Ratio (|rho|>=0.999)
daily_RSI,-0.0012636157129720454,,,,,,,,,False,duplicate of RSI (|rho|>=0.999)
daily_volatility,0.024026868164165542,,,,,,,,,False,duplicate of Volatility (|rho|>=0.999)
daily_return,0.006888460893073834,,,,,,,,,False,duplicate of Ret_1 (|rho|>=0.999)
daily_MACD_norm,0.0011318239209712692,,,,,,,,,False,duplicate of MACD_Ratio (|rho|>=0.999)
daily_MACD_hist_norm,-0.0010263719030772763,,,,,,,,,False,duplicate of MACD_Hist_Ratio (|rho|>=0.999)
daily_ATR_pct,0.02387557395520572,,,,,,,,,False,duplicate of ATR_Ratio (|rho|>=0.999)
daily_momentum,-0.016751249120307544,,,,,,,,,False,duplicate of Ret_5 (|rho|>=0.999)
1h_RSI,,,,,,,,,,False,only 21% of training rows have a value
1h_volatility,,,,,,,,,,False,only 21% of training rows have a value
1h_return,,,,,,,,,,False,only 21% of training rows have a value
1h_volume_change,,,,,,,,,,False,only 21% of training rows have a value
1h_price_vs_EMA,,,,,,,,,,False,only 21% of training rows have a value
1h_MACD_norm,,,,,,,,,,False,only 21% of training rows have a value
1h_MACD_signal_norm,,,,,,,,,,False,only 21% of training rows have a value
1h_MACD_hist_norm,,,,,,,,,,False,only 21% of training rows have a value
1h_ATR_pct,,,,,,,,,,False,only 21% of training rows have a value
1h_EMA_fast_vs_slow,,,,,,,,,,False,only 21% of training rows have a value
1h_momentum,,,,,,,,,,False,only 21% of training rows have a value
1h_momentum_z,,,,,,,,,,False,only 21% of training rows have a value
1h_trend_direction,,,,,,,,,,False,only 21% of training rows have a value
1h_rsi_regime,,,,,,,,,,False,only 21% of training rows have a value
1h_vs_daily_momentum,,,,,,,,,,False,only 21% of training rows have a value
5m_RSI,,,,,,,,,,False,only 0% of training rows have a value
5m_volatility,,,,,,,,,,False,only 0% of training rows have a value
5m_return,,,,,,,,,,False,only 0% of training rows have a value
5m_volume_change,,,,,,,,,,False,only 0% of training rows have a value
5m_price_vs_EMA,,,,,,,,,,False,only 0% of training rows have a value
5m_MACD_norm,,,,,,,,,,False,only 0% of training rows have a value
5m_MACD_signal_norm,,,,,,,,,,False,only 0% of training rows have a value
5m_MACD_hist_norm,,,,,,,,,,False,only 0% of training rows have a value
5m_ATR_pct,,,,,,,,,,False,only 0% of training rows have a value
5m_EMA_fast_vs_slow,,,,,,,,,,False,only 0% of training rows have a value
5m_momentum,,,,,,,,,,False,only 0% of training rows have a value
5m_momentum_z,,,,,,,,,,False,only 0% of training rows have a value
5m_trend_direction,,,,,,,,,,False,only 0% of training rows have a value
5m_rsi_regime,,,,,,,,,,False,only 0% of training rows have a value
15m_RSI,,,,,,,,,,False,only 0% of training rows have a value
15m_volatility,,,,,,,,,,False,only 0% of training rows have a value
15m_return,,,,,,,,,,False,only 0% of training rows have a value
15m_volume_change,,,,,,,,,,False,only 0% of training rows have a value
15m_price_vs_EMA,,,,,,,,,,False,only 0% of training rows have a value
15m_MACD_norm,,,,,,,,,,False,only 0% of training rows have a value
15m_MACD_signal_norm,,,,,,,,,,False,only 0% of training rows have a value
15m_MACD_hist_norm,,,,,,,,,,False,only 0% of training rows have a value
15m_ATR_pct,,,,,,,,,,False,only 0% of training rows have a value
15m_EMA_fast_vs_slow,,,,,,,,,,False,only 0% of training rows have a value
15m_momentum,,,,,,,,,,False,only 0% of training rows have a value
15m_momentum_z,,,,,,,,,,False,only 0% of training rows have a value
15m_trend_direction,,,,,,,,,,False,only 0% of training rows have a value
15m_rsi_regime,,,,,,,,,,False,only 0% of training rows have a value
5m_vs_15m_momentum,,,,,,,,,,False,only 0% of training rows have a value
15m_vs_1h_momentum,,,,,,,,,,False,only 0% of training rows have a value
