feature,correlation_score,mutual_information,model_importance_gain,model_importance_split,permutation_importance,permutation_positive_folds,shap_importance,shap_mean_signed,votes,selected,removal_reason
Mkt_Vol_20,0.15520715919236142,0.12578822682911595,0.15786370429650676,0.06330357142857143,0.006876471739396132,0.75,0.39326886534251,0.028216260859338385,4.0,True,
india_vix,0.16403002469235212,0.0890016070104862,0.24244499420464713,0.07321428571428572,0.00507071900291682,0.75,0.30574033589722893,-0.06869777946538028,4.0,True,
Mkt_SMA200_Ratio,-0.1016872611607677,0.12467717339695161,0.09927747364165783,0.08321428571428571,0.004559902454445611,0.75,0.2713671380812021,-0.0868270886151405,4.0,True,
Mkt_Ret_63,-0.0039740074386845235,0.12894336806445494,0.08880467053773182,0.06410714285714286,-0.0016399103425184108,0.5,0.1951542969512371,-0.08063190637453761,3.0,True,
Vol_60,0.00916872752613886,0.005980405414036438,0.050250308748360825,0.06848214285714285,-0.01600320226868181,0.5,0.1551621976344041,0.00465792498024422,3.0,True,
sector_volatility,0.04296147961288768,0.04956736196535094,0.03810313659498119,0.075625,-0.0015239894040564492,0.5,0.10046894721561118,-0.0037209001612869934,3.0,True,
usdinr_volatility,-0.06781777839020584,0.1256852964615769,0.05676568393920491,0.049553571428571426,0.0016540308116986396,0.5,0.09787583931056854,0.041440836738785555,4.0,True,
Low252_Dist,0.05814056910560367,0.008673289804614903,0.021517700136518294,0.05625,0.004941336814945306,0.5,0.07922086611837217,-0.007124114561219773,4.0,True,
Volatility,-0.013041041746899287,0.0007361318347727241,0.01879434821149528,0.023303571428571427,-0.00391370046846129,0.5,0.06839265720415079,0.0045639781740739625,2.0,True,
india_vix_volatility,0.01751341348341046,0.1263076917279018,0.03635890519504461,0.052767857142857144,0.0010469940201067358,0.5,0.05433306482322764,0.009438728013533241,4.0,True,
daily_EMA_fast_vs_slow,0.04884310871783056,0.007596474007388165,0.013732168019224706,0.024553571428571428,0.0015815363559477935,0.5,0.04955337507836814,0.008558515766649037,4.0,True,
nifty_momentum,-0.024725213643626606,0.12665609037663028,0.012357675080093947,0.013482142857142857,0.001340399812015336,1.0,0.04164865021501172,-0.011658250031766928,4.0,True,
nifty_sma_ratio,-0.009015969673203292,0.12368883976303469,0.025288462329776905,0.019553571428571427,0.00010649564636892409,0.5,0.036148019573371944,-0.020715804104914196,4.0,True,
Ret_252,-0.030375015493537837,0.004068061470311468,0.010806244869671333,0.029732142857142856,0.0012330683904988409,1.0,0.035585905655296624,-0.017577931311188986,3.0,True,
High252_Dist,0.0015498731946781451,0.009260725932577651,0.017744858882150497,0.03723214285714286,0.002711011215281893,1.0,0.0349724440675219,0.012689706809010066,4.0,True,
daily_volume_change,-0.0034779529606173533,0.0,0.006951197420239021,0.020714285714285713,0.000985631916411614,1.0,0.03380807200517806,-0.0036186889351308075,3.0,True,
sector_sma_ratio,0.019268978512337102,0.0508665281077012,0.01258513521816358,0.02919642857142857,0.0005784545697536206,0.75,0.03207103761271552,-0.011885131968175705,4.0,True,
Ret_126,0.029699405220883483,0.001983797982892277,0.009807352431606362,0.021607142857142856,0.0017071031043787337,0.75,0.030977490744470943,-0.002478558693050346,3.0,True,
Rel_Ret_63,0.07099483386942794,0.003506621075274552,0.011096018085436034,0.01839285714285714,0.0001444722257564895,0.5,0.03029872922241672,0.006707027610265506,3.0,True,
SMA50_200_Ratio,0.014381657283923644,0.0026306170045824473,0.010211240796187415,0.030357142857142857,9.912821514973069e-05,0.25,0.028252758714135948,0.005441803680851701,3.0,True,
Volume_Ratio,-0.004451196455252318,0.003209448396376713,0.00358851685380071,0.016517857142857143,0.00019054256490687318,0.75,0.021850789799343094,0.0002503946152211501,3.0,True,
Ret_63,0.05376647377252926,0.007149494163726899,0.008072387348291797,0.01107142857142857,0.0011965589099455591,0.75,0.02094720529819134,0.001687411977721843,4.0,True,
nifty_return_5,-0.005995839781728703,0.12446722779502783,0.0014004401307529364,0.004821428571428571,7.417622809444599e-05,0.5,0.01157127973648758,1.1550367585275135e-05,3.0,True,
sector_return_20,0.018205552969535157,0.05018888998400506,0.0035781148138150634,0.010803571428571428,-0.00012671572399396608,0.5,0.01027321565625297,-0.0038864409071374876,3.0,True,
nifty_trend_direction,-0.13855999718470718,0.01251163145701173,0.0032885970169686915,0.0032142857142857142,8.938168217596798e-05,0.75,0.004272142067284737,-0.0015188108764563966,3.0,True,
india_vix_return,-0.02063876355026866,0.12502533335693622,0.00017874343002022,0.0008035714285714286,8.202495594980541e-06,0.75,0.0016753963541612344,0.00015513357513527662,2.0,True,
nifty_return_1,0.009827402421488749,0.12384256512246061,5.3100930000118775e-05,0.00035714285714285714,8.966143865784168e-06,0.5,0.00041405784658704006,-0.00014701984184558922,2.0,True,
usdinr_return_20,0.01577730007332582,0.12693613668965087,0.008921045861782476,0.016875,-0.0015252386436868843,0.0,0.027165965582015426,9.697935083417949e-05,3.0,False,permutation importance negative out-of-sample
SMA200_Ratio,0.026458714320953963,0.0022314703026047322,0.005753134597702756,0.013482142857142857,0.0002491857741854924,0.5,0.02092502298203536,0.012388484317070462,3.0,False,redundant with Ret_126 (|rho|>=0.9)
nifty_return_20,0.0037648564156529778,0.12453345146535555,0.004929010946768927,0.005178571428571428,0.0003062772844199674,0.75,0.01354910814320318,-0.004875551275029794,4.0,False,redundant with nifty_momentum (|rho|>=0.9)
